year,authors
2018,"KahreL, WalterbosRA, KimH, ThilkerD, CalzettiD, LeeJC, SabbiE, UbedaL, AloisiA, CignoniM, CookDO, DaleDA, ElmegreenBG, ElmegreenDM, FumagalliM, Gallagher, IIIJS, GouliermisDA, GrashaK, GrebelEK, WoffordA"
1999,"TheEuropeanUnionArabidopsisGenomeSequencingConsortium, MayerK, SchüllerC, WambuttR, MurphyG, VolckaertG, PohlT, DüsterhöftA, StiekemaW, EntianKD, TerrynN, HarrisB, AnsorgeW, BrandtP, GrivellL, RiegerM, WeichselgartnerM, deSimoneV, ObermaierB, TheColdSpringHarbor, WashingtonUniversityinStLouisandPEBiosystemsArabidopsisSequencingConsortium"
