Id,Degree,degree,pagerank,betweenness,closeness
HesselsJWT,744,0.015180050373261329,0.0003199800337097161,0.012054863410684324,0.0
KouveliotouC,743,0.014930453132445372,0.00034424961086577114,0.007200092140051297,0.0
WijersRAMJ,755,0.014794309182909396,0.0003298967825300001,0.010035843597249064,0.0
DominikC,714,0.014385877334301468,0.00034184545599996486,0.01628638817424598,0.0
KaperL,831,0.014181661409997505,0.0003749974492802087,0.026362162010731785,0.0
deKoterA,693,0.013137891130221688,0.0003374839498458,0.016151856872985402,0.0
MarkoffS,708,0.012525243357309796,0.00030833647489701796,0.0042688207561312405,0.0
HenningT,559,0.012207574141725852,0.0002858443897523051,0.010688837845481079,0.0
WatersLBFM,717,0.011980667559165893,0.0003079929459450958,0.018709195730065242,0.0
vanderHorstAJ,578,0.011867214267885912,0.0002542703185418821,0.005645561584845253,0.0
WijnandsR,672,0.011254566494974019,0.0002543666544664213,0.004272841921088808,0.0
AltamiranoD,512,0.010415012139502168,0.00022783229582173145,0.0026606716286047636,0.0
HjorthJ,450,0.009847745683102267,0.00021849896373684656,0.00540063862936367,0.0
AronicaE,603,0.009507385809262327,0.0004022046384615686,0.01049447234757388,0.0
DegenaarN,513,0.009303169884958364,0.00020270383627989563,0.001931462484277718,0.0
FynboJPU,413,0.009235097910190376,0.0001993046062096647,0.001998388999142493,0.0
WiersemaK,432,0.009189716593678383,0.00019959655042475056,0.0051647382392587295,0.0
GorosabelJ,427,0.009189716593678383,0.00020533893761789365,0.002427949323452093,0.0
AaronsonNK,631,0.00914433527716639,0.00037039925602180715,0.02482832980331977,0.0
deUgartePostigoA,404,0.008826666061582446,0.00018965697200434544,0.0017303804082272982,0.0
RowlinsonA,426,0.008508996845998503,0.00019613453174065296,0.005237905279953444,0.0
StappersBW,450,0.008463615529486511,0.00017579227497796463,0.004442230651973882,0.0
FenderR,411,0.008440924871230516,0.0001827981945838492,0.001191675353447414,0.0
vanLeeuwenJ,422,0.008418234212974518,0.0001845588153249386,0.015359549248885102,0.0
vanderKlisM,670,0.00835016223820653,0.00019670370051618437,0.0017026243028120662,0.0
SanaH,437,0.008145946313902567,0.00022444418112344463,0.0024832665922219764,0.0
KramerM,398,0.008032493022622586,0.00016467543922966024,0.0012500868272810215,0.0
LucassenPJ,662,0.008032493022622586,0.0003787348206116193,0.021120761854240704,0.0
FenderRP,522,0.007987111706110595,0.0001828250439733286,0.004710044720917485,0.0
TanvirNR,369,0.007919039731342607,0.00016756982460609603,0.001811107929256745,0.0
HomanJ,418,0.0077148238070386425,0.00016683099177173687,0.0009792668569058116,0.0
GreinerJ,354,0.0077148238070386425,0.00016872140349209885,0.002017204342212109,0.0
CorbelS,368,0.007578679857502667,0.00016760664003866212,0.003042506397994596,0.0
UttleyP,410,0.007533298540990675,0.00016822878963635877,0.001577799182036471,0.0
KisslingWD,490,0.007487917224478682,0.0002944570147308797,0.012805310248531732,0.0
BassaCG,341,0.007419845249710694,0.00015224977432366733,0.0028351348409198225,0.0
KaspiVM,340,0.007419845249710694,0.00015300933426767751,0.002319960429520489,0.0
deMinkSE,418,0.007419845249710694,0.0001991309812987203,0.001976175054044858,0.0
ZhangY,479,0.007192938667150734,0.00024668489083517396,0.025641794366195174,0.0
BoekhoutT,474,0.0071475573506387426,0.00029396294085080394,0.012930371218383124,0.0
VreeswijkPM,342,0.0071475573506387426,0.0001660647549263336,0.005574608799899701,0.0
RussellDM,380,0.0071475573506387426,0.00015748808150496302,0.0012019093368141598,0.0
RolE,370,0.00710217603412675,0.0001501568492323433,0.0019254352815110105,0.0
GehrelsN,324,0.007011413401102767,0.00015733611527856924,0.0028139567069486444,0.0
CovinoS,313,0.007011413401102767,0.00014727473501166714,0.00047263877629930077,0.0
BenistyM,323,0.00698872274284677,0.00015266073513460992,0.00178000943726922,0.0
ArzoumanianZ,321,0.006897960109822786,0.00014384070208990602,0.0011495650438291365,0.0
LevanAJ,316,0.006829888135054798,0.00014148571753330586,0.0008725722764213042,0.0
GinskiC,317,0.006829888135054798,0.00014720109961250224,0.0027011313793722644,0.0
HooghiemstraH,408,0.006829888135054798,0.00028592795859071874,0.006020282382734475,0.0
ReaN,365,0.0067164348437748185,0.00014233986069332643,0.001022986160109019,0.0
vanParadijsJA,419,0.0067164348437748185,0.00018883275502481873,0.0014052152991503402,0.0
CampanaS,362,0.006648362869006831,0.00013678481783040394,0.0006596332746193644,0.0
MaccaroneTJ,322,0.006602981552494838,0.00015299445417262816,0.00281059455408819,0.0
KrishnaR,669,0.00653490957772685,0.00026962231591847217,0.007925680700553267,0.0
GoldenMS,451,0.00653490957772685,0.00026219036575540224,0.0036662696638481472,0.0
VinkJ,478,0.00653490957772685,0.0002035283194581104,0.007117361504586566,0.0
StarlingRLC,303,0.006466837602958862,0.0001340604700309732,0.0007848506503074904,0.0
KuulkersE,346,0.006444146944702866,0.0001472130182736518,0.0011394136144622835,0.0
MinM,359,0.006398765628190874,0.00015104101367923028,0.0066080781768546835,0.0
BozzoE,300,0.006398765628190874,0.0001419248939364403,0.0009575373915261217,0.0
WagenmakersEJ,425,0.006376074969934878,0.00024494052025274184,0.009304766130263587,0.0
JakobssonP,285,0.0062853123369108945,0.0001302082297056221,0.0008691213067603039,0.0
GrootPJ,366,0.006262621678654898,0.00014871058730899043,0.00105010904835168,0.0
WangJ,395,0.006262621678654898,0.000228269669303024,0.019127534071009755,0.0
LiY,382,0.006239931020398902,0.00024310266713906462,0.018322311994773573,0.0
EvansCJ,297,0.006126477729118922,0.0001717290898284117,0.005573804964812178,0.0
