,N,E,avg_degree,density,avg_clustering,avg_path_len
Real (LCC),133953.0,918552.0,13.71454166759983,0.00010238400074354866,0.22011008148404382,4.926886526516961
ER (LCC),133953.0,919104.0,13.722783364314349,0.00010244552798251873,0.00010014566714577474,4.78360772515528
WS (LCC),133953.0,937671.0,14.0,0.00010451505016722408,0.5008597643090102,6.684516125179169
BA (LCC),133953.0,937622.0,13.999268400110486,0.00010450958851014159,0.0008184603560426034,3.9824726917104636
