Node,degree,betweenness,closeness,eigenvector,pagerank
vanEsbroeckR,0.00020004000800160032,0.0,1.0,0.00021664716842138937,0.00021664716842138937
vanNieuwAmerongenA,0.004000800160032006,0.00012675153558844177,0.26763990267639903,0.0003378465667927554,0.0003378465667927554
MelatosA,0.001200240048009602,0.0,0.2646616541353383,5.520755677927482e-05,5.520755677927482e-05
ThomasKV,0.004400880176035207,0.0011049322060795428,0.29133597883597884,0.00033594488794477356,0.00033594488794477356
BrazierA,0.010002000400080016,0.00010938267233574665,0.3012995896032832,0.00023908793813069208,0.00023908793813069208
FransenJ,0.000600120024004801,3.3538934032384006e-05,0.24964579200906772,8.079008685138953e-05,8.079008685138953e-05
AckeB,0.009001800360072015,0.00012629303477745498,0.28989799276077655,0.00028038488066025577,0.00028038488066025577
WilliamsGJ,0.0014002800560112022,2.379609972755065e-06,0.2306282722513089,0.0001468152695488498,0.0001468152695488498
RudaizkyD,0.00020004000800160032,0.0,0.22800207039337475,4.562010555903826e-05,4.562010555903826e-05
WrightJT,0.0036007201440288058,0.00023386974435758438,0.27436935534101525,0.00016472988231741267,0.00016472988231741267
GraetzC,0.0030006001200240046,0.00013838447348039304,0.2467096051526183,0.00025895018440018553,0.00025895018440018553
ClaassensL,0.00040008001600320064,0.0,0.23636852001074402,8.93346230018521e-05,8.93346230018521e-05
GianelleD,0.00020004000800160032,0.0,0.22434428316781257,4.756752638758078e-05,4.756752638758078e-05
YangY,0.020604120824164834,0.007591731466176038,0.3515562649640862,0.0008636612934765938,0.0008636612934765938
BlakeGR,0.00040008001600320064,0.0,0.24276660236979886,5.4211937766626166e-05,5.4211937766626166e-05
EllisonSL,0.009001800360072015,4.85208124569389e-06,0.2835965194972607,0.00019226332169336734,0.00019226332169336734
CoxNLJ,0.0054010802160432084,5.829704157065535e-05,0.2830067459042724,0.00018900417316182827,0.00018900417316182827
OttoMW,0.00020004000800160032,0.0,0.2225309421571104,4.0429934240281404e-05,4.0429934240281404e-05
GuenneauS,0.00020004000800160032,0.0,0.26536144578313253,4.1795586765509704e-05,4.1795586765509704e-05
BrantSR,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
KrishnaR,0.02540508101620324,0.004193257999159504,0.3561034761519806,0.0013076642046495304,0.0013076642046495304
CrousPW,0.0026005201040208044,0.0002889513733650237,0.2873450750163079,0.00022492405040319715,0.00022492405040319715
PrandoniI,0.006601320264052811,7.873253123900713e-05,0.26072802604320805,0.00018356763040504613,0.00018356763040504613
BenedettiniM,0.007401480296059212,1.862849842328244e-05,0.26680799515445186,0.000241011048978725,0.000241011048978725
GenschT,0.001200240048009602,0.0,0.26041974578776234,0.0001175972438218223,0.0001175972438218223
CorbetBP,0.000600120024004801,3.510176000224651e-09,0.24547227640011146,6.623770351374213e-05,6.623770351374213e-05
BouchèG,0.000600120024004801,0.0,0.2271203918535705,9.683463159539406e-05,9.683463159539406e-05
MargaritisE,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
MarkwardtC,0.016003200640128026,0.00022026235643742153,0.3035837353549276,0.00034026817498272684,0.00034026817498272684
FrankMJ,0.002000400080016003,1.5784457975036048e-05,0.2549927641099855,0.00015737337326738004,0.00015737337326738004
HägiTT,0.00020004000800160032,0.0,0.27082692898862587,4.121794552936316e-05,4.121794552936316e-05
SchuitemakerH,0.004000800160032006,0.0007354274062151486,0.2867838541666667,0.00033681840255843566,0.00033681840255843566
GeversT,0.003800760152030406,0.0009655817356368482,0.3043177892918826,0.00031619821982897535,0.00031619821982897535
WijnandsRAD,0.008801760352070413,5.295303709405389e-05,0.2940587449933244,0.00020230973845694852,0.00020230973845694852
KleinAM,0.003200640128025605,0.00031663195875479197,0.2715782983970407,0.00025306976850842327,0.00025306976850842327
SpeelmanP,0.0026005201040208044,0.00010271860279238449,0.2523632197078201,0.0002542111737758035,0.0002542111737758035
HaringMA,0.009601920384076815,0.0014764403661295107,0.3060090309135116,0.0006576584864785625,0.0006576584864785625
BrownTM,0.006801360272054411,9.886617629618094e-05,0.26514010244049413,0.00022036143676181926,0.00022036143676181926
VarjosaloM,0.00020004000800160032,0.0,0.19753363228699553,6.038643643688826e-05,6.038643643688826e-05
LeaM,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
FujiM,0.000600120024004801,0.0,0.25229357798165136,6.027631609394456e-05,6.027631609394456e-05
KauliusM,0.00020004000800160032,0.0,1.0,0.00021664716842138937,0.00021664716842138937
LemmensAK,0.000600120024004801,9.704304100673083e-06,0.26058631921824105,6.195659672733471e-05,6.195659672733471e-05
LoiMA,0.00040008001600320064,2.1521251330283236e-06,0.24943374858437145,6.0953187510496073e-05,6.0953187510496073e-05
AlfeldM,0.000600120024004801,7.788108213789631e-06,0.24038199181446113,8.20081693280444e-05,8.20081693280444e-05
CovaciA,0.0022004400880176033,2.1216632132756886e-07,0.24097374179431072,0.0002019945710334689,0.0002019945710334689
GietemaJA,0.000600120024004801,0.0,0.2293076522644456,9.104298674262823e-05,9.104298674262823e-05
LentonTM,0.0016003200640128026,3.9902672961685785e-05,0.26941896024464834,0.00015891096417609067,0.00015891096417609067
SamanipourS,0.0036007201440288058,0.0009085402619431141,0.29288563829787234,0.00027236946266218553,0.00027236946266218553
MüllerC,0.007801560312062412,0.002561724967389728,0.28781443972557985,0.00037658117280832686,0.00037658117280832686
HessKM,0.007801560312062412,0.00014086753042291537,0.273376825100963,0.0002145955928669378,0.0002145955928669378
StewartAJ,0.010602120424084817,6.570429934501361e-05,0.29850746268656714,0.0002454770191867138,0.0002454770191867138
AaltonenTU,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
HarrisSE,0.0008001600320064013,0.0,0.2512835139760411,9.006730712822085e-05,9.006730712822085e-05
WuJ,0.007001400280056011,0.0018176552189315906,0.3207135056425191,0.0003375555036289814,0.0003375555036289814
PoppAK,0.00040008001600320064,0.0,0.20594430142756845,9.772147598762019e-05,9.772147598762019e-05
VerschurePJ,0.003200640128025605,0.001812751212676107,0.2803054406617881,0.0002901777963711167,0.0002901777963711167
PriddyF,0.00020004000800160032,0.0,0.22272842318400404,4.9234884366428325e-05,4.9234884366428325e-05
WaterhamHR,0.002400480096019204,0.0001451151652761074,0.26729368932038833,0.00025297293279022523,0.00025297293279022523
BoucherCAB,0.003200640128025605,0.0003628093445135875,0.28318868531018965,0.00026545316052219343,0.00026545316052219343
