,N,E,avg_degree,density,avg_clustering,avg_path_len
Real (LCC),55700.0,581119.0,20.866032315978455,0.0003746213094665695,0.327534938113363,4.825466669060487
ER (LCC),55700.0,580290.0,20.836265709156194,0.00037408689041376316,0.00037835620562067787,3.8780326038169446
WS (LCC),55700.0,557000.0,20.0,0.0003590728738397458,0.5152856825208639,5.238739797841972
BA (LCC),55700.0,556900.0,19.996409335727108,0.0003590084083327728,0.002429799000795569,3.4986632794125567
