node,degree,strategy,adoption_time,tau,seed_fraction
vanderZwalmMCH,6,random,0,0.05,0.0025
VantommeA,5,random,0,0.05,0.0025
StellmerS,1,random,0,0.05,0.0025
StadelmannB,3,random,0,0.05,0.0025
vanRooijenG,49,random,0,0.05,0.0025
SandströmE,10,random,0,0.05,0.0025
RuiterRAC,25,random,0,0.05,0.0025
CummingsRD,7,random,0,0.05,0.0025
ColomerM,16,random,0,0.05,0.0025
FormanL,8,random,0,0.05,0.0025
BuhaiIS,4,random,0,0.05,0.0025
WermerMJH,6,random,0,0.05,0.0025
KolmakovaNP,7,random,0,0.05,0.0025
WuSC,9,random,0,0.05,0.0025
KuiperLBBJM,6,random,0,0.05,0.0025
MensahGI,7,random,0,0.05,0.0025
AgrafiotiI,19,random,0,0.05,0.0025
AxtnerM,5,random,0,0.05,0.0025
OeiN,17,random,0,0.05,0.0025
KnezovićE,16,random,0,0.05,0.0025
vanOersB,21,random,0,0.05,0.0025
TrichiasK,11,random,0,0.05,0.0025
TorradoJM,2,random,0,0.05,0.0025
RattiL,4,random,0,0.05,0.0025
KomáromyD,7,random,0,0.05,0.0025
MatternKA,16,random,0,0.05,0.0025
YakuninMV,18,random,0,0.05,0.0025
ChristophoridisCE,17,random,0,0.05,0.0025
d'AuriaV,3,random,0,0.05,0.0025
TiemijerW,3,random,0,0.05,0.0025
WoltersM,18,random,0,0.05,0.0025
TanESH,29,random,0,0.05,0.0025
WindpassingerP,18,random,0,0.05,0.0025
HanSY,35,random,0,0.05,0.0025
GoffredoS,14,random,0,0.05,0.0025
BrouwerFLLS,3,random,0,0.05,0.0025
TownsendJH,3,random,0,0.05,0.0025
MuelaRiberaJHMS,11,random,0,0.05,0.0025
BlaakH,14,random,0,0.05,0.0025
MagalhãesB,8,random,0,0.05,0.0025
PierikB,6,random,0,0.05,0.0025
MatějkaP,11,random,0,0.05,0.0025
KozusznikMW,2,random,0,0.05,0.0025
deRodaHusmanAM,23,random,0,0.05,0.0025
BoersmaW,3,random,0,0.05,0.0025
YoshimuraM,19,random,0,0.05,0.0025
EngelSM,12,random,0,0.05,0.0025
DengZ,16,random,0,0.05,0.0025
GablerM,9,random,0,0.05,0.0025
DieterM,17,random,0,0.05,0.0025
WidmarkA,5,random,0,0.05,0.0025
JA,9,random,0,0.05,0.0025
TeglasiH,2,random,0,0.05,0.0025
CookSL,2,random,0,0.05,0.0025
DekkerL,24,random,0,0.05,0.0025
StavengaG,9,random,0,0.05,0.0025
KiliasES,5,random,0,0.05,0.0025
HendrikxK,2,random,0,0.05,0.0025
BranscombeN,1,random,0,0.05,0.0025
SpieringJHGM,5,random,0,0.05,0.0025
HarwoodJJ,60,random,0,0.05,0.0025
DomínguezC,6,random,0,0.05,0.0025
VaksmannGDBL,9,random,0,0.05,0.0025
TayebJ,5,random,0,0.05,0.0025
HoldenPBDFJ,7,random,0,0.05,0.0025
WijersRAMJCTAJ,17,random,0,0.05,0.0025
KlerksM,2,random,0,0.05,0.0025
GreenbaumR,3,random,0,0.05,0.0025
WeitznerDJ,19,random,0,0.05,0.0025
SonisST,35,random,0,0.05,0.0025
PaliukhovichI,9,random,0,0.05,0.0025
vanTurnhoutCAM,23,random,0,0.05,0.0025
KroonGVJHVO,4,random,0,0.05,0.0025
SamaninR,11,random,0,0.05,0.0025
MelissenSTAG,5,random,0,0.05,0.0025
CabreraBlázquezF,11,random,0,0.05,0.0025
TrancosoI,17,random,0,0.05,0.0025
GehrelsMJ,19,random,0,0.05,0.0025
RiphagenII,18,random,0,0.05,0.0025
ObiIM,4,random,0,0.05,0.0025
JonesMG,19,random,0,0.05,0.0025
ContiKI,2,random,0,0.05,0.0025
vanYperenNW,3,random,0,0.05,0.0025
ApersPMG,7,random,0,0.05,0.0025
ChieliA,11,random,0,0.05,0.0025
FishovI,7,random,0,0.05,0.0025
ZembicA,11,random,0,0.05,0.0025
