strategy,run_id,n_steps,final_fraction,t_50,t_90,auc,tau,seed_fraction
betweenness,8,10,1.0,1.0,3.0,9.485924167431861,0.05,0.01
betweenness,9,10,1.0,1.0,3.0,9.485924167431861,0.05,0.01
random,0,10,1.0,3.0,3.0,8.45870566541996,0.05,0.02
random,1,11,1.0,3.0,3.0,9.459407404089495,0.05,0.02
random,2,10,1.0,3.0,4.0,8.429926914664097,0.05,0.02
random,3,10,1.0,3.0,4.0,8.427784372130525,0.05,0.02
random,4,10,1.0,3.0,4.0,8.37434771897606,0.05,0.02
random,5,8,1.0,3.0,4.0,6.433726754906572,0.05,0.02
random,6,10,1.0,3.0,4.0,8.402686016737213,0.05,0.02
random,7,9,1.0,3.0,4.0,7.41672079012788,0.05,0.02
random,8,10,1.0,3.0,4.0,8.445409957223802,0.05,0.02
random,9,8,1.0,3.0,4.0,6.3799093711973605,0.05,0.02
degree,0,9,1.0,1.0,2.0,8.615245645860862,0.05,0.02
degree,1,9,1.0,1.0,2.0,8.615245645860862,0.05,0.02
degree,2,9,1.0,1.0,2.0,8.615245645860862,0.05,0.02
degree,3,9,1.0,1.0,2.0,8.615245645860862,0.05,0.02
degree,4,9,1.0,1.0,2.0,8.615245645860862,0.05,0.02
degree,5,9,1.0,1.0,2.0,8.615245645860862,0.05,0.02
degree,6,9,1.0,1.0,2.0,8.615245645860862,0.05,0.02
degree,7,9,1.0,1.0,2.0,8.615245645860862,0.05,0.02
degree,8,9,1.0,1.0,2.0,8.615245645860862,0.05,0.02
degree,9,9,1.0,1.0,2.0,8.615245645860862,0.05,0.02
betweenness,0,9,1.0,1.0,2.0,8.713451733070555,0.05,0.02
betweenness,1,9,1.0,1.0,2.0,8.713451733070555,0.05,0.02
betweenness,2,9,1.0,1.0,2.0,8.713451733070555,0.05,0.02
betweenness,3,9,1.0,1.0,2.0,8.713451733070555,0.05,0.02
betweenness,4,9,1.0,1.0,2.0,8.713451733070555,0.05,0.02
betweenness,5,9,1.0,1.0,2.0,8.713451733070555,0.05,0.02
betweenness,6,9,1.0,1.0,2.0,8.713451733070555,0.05,0.02
betweenness,7,9,1.0,1.0,2.0,8.713451733070555,0.05,0.02
betweenness,8,9,1.0,1.0,2.0,8.713451733070555,0.05,0.02
betweenness,9,9,1.0,1.0,2.0,8.713451733070555,0.05,0.02
random,0,10,1.0,2.0,3.0,9.193717199316179,0.05,0.05
random,1,9,1.0,2.0,3.0,8.201817055235793,0.05,0.05
random,2,8,1.0,2.0,3.0,7.190327950848432,0.05,0.05
random,3,8,1.0,2.0,3.0,7.194486125730667,0.05,0.05
random,4,8,1.0,2.0,3.0,7.165677513754825,0.05,0.05
random,5,8,1.0,2.0,3.0,7.219800974968832,0.05,0.05
random,6,8,1.0,2.0,3.0,7.1923286525871015,0.05,0.05
random,7,8,1.0,2.0,3.0,7.2031234836099225,0.05,0.05
random,8,8,1.0,2.0,3.0,7.1942173747508456,0.05,0.05
random,9,9,1.0,2.0,3.0,8.19938336580741,0.05,0.05
degree,0,9,1.0,1.0,2.0,8.827581315834658,0.05,0.05
degree,1,9,1.0,1.0,2.0,8.827581315834658,0.05,0.05
degree,2,9,1.0,1.0,2.0,8.827581315834658,0.05,0.05
degree,3,9,1.0,1.0,2.0,8.827581315834658,0.05,0.05
degree,4,9,1.0,1.0,2.0,8.827581315834658,0.05,0.05
degree,5,9,1.0,1.0,2.0,8.827581315834658,0.05,0.05
degree,6,9,1.0,1.0,2.0,8.827581315834658,0.05,0.05
degree,7,9,1.0,1.0,2.0,8.827581315834658,0.05,0.05
degree,8,9,1.0,1.0,2.0,8.827581315834658,0.05,0.05
degree,9,9,1.0,1.0,2.0,8.827581315834658,0.05,0.05
betweenness,0,6,1.0,1.0,1.0,5.9446596940718015,0.05,0.05
betweenness,1,6,1.0,1.0,1.0,5.9446596940718015,0.05,0.05
betweenness,2,6,1.0,1.0,1.0,5.9446596940718015,0.05,0.05
betweenness,3,6,1.0,1.0,1.0,5.9446596940718015,0.05,0.05
betweenness,4,6,1.0,1.0,1.0,5.9446596940718015,0.05,0.05
betweenness,5,6,1.0,1.0,1.0,5.9446596940718015,0.05,0.05
betweenness,6,6,1.0,1.0,1.0,5.9446596940718015,0.05,0.05
betweenness,7,6,1.0,1.0,1.0,5.9446596940718015,0.05,0.05
betweenness,8,6,1.0,1.0,1.0,5.9446596940718015,0.05,0.05
betweenness,9,6,1.0,1.0,1.0,5.9446596940718015,0.05,0.05
random,0,14,0.9960881801826014,7.0,8.0,8.314864168775614,0.1,0.0025
random,1,14,0.9959911312176659,7.0,8.0,8.270035012280426,0.1,0.0025
random,2,16,0.9963569311624226,7.0,8.0,10.155345531641695,0.1,0.0025
random,3,15,0.9963793270774077,7.0,9.0,9.093390965487895,0.1,0.0025
random,4,14,0.9959911312176659,7.0,8.0,8.507469037647533,0.1,0.0025
random,5,14,0.9961777638425418,7.0,8.0,8.308369353429933,0.1,0.0025
random,6,15,0.9960807148776063,7.0,9.0,9.135652057064792,0.1,0.0025
random,7,14,0.9963270699424425,7.0,9.0,8.359715721185788,0.1,0.0025
random,8,15,0.9961329720125716,7.0,8.0,9.513478608168537,0.1,0.0025
degree,0,12,0.9959911312176659,3.0,4.0,10.2108276783648,0.1,0.0025
random,9,15,0.996215090367517,7.0,9.0,8.964696572678477,0.1,0.0025
degree,1,12,0.9959911312176659,3.0,4.0,10.2108276783648,0.1,0.0025
degree,2,12,0.9959911312176659,3.0,4.0,10.2108276783648,0.1,0.0025
degree,3,12,0.9959911312176659,3.0,4.0,10.2108276783648,0.1,0.0025
degree,4,12,0.9959911312176659,3.0,4.0,10.2108276783648,0.1,0.0025
degree,5,12,0.9959911312176659,3.0,4.0,10.2108276783648,0.1,0.0025
degree,6,12,0.9959911312176659,3.0,4.0,10.2108276783648,0.1,0.0025
degree,7,12,0.9959911312176659,3.0,4.0,10.2108276783648,0.1,0.0025
degree,8,12,0.9959911312176659,3.0,4.0,10.2108276783648,0.1,0.0025
degree,9,12,0.9959911312176659,3.0,4.0,10.2108276783648,0.1,0.0025
betweenness,0,11,0.9960732495726113,3.0,4.0,9.152396736168654,0.1,0.0025
betweenness,1,11,0.9960732495726113,3.0,4.0,9.152396736168654,0.1,0.0025
betweenness,2,11,0.9960732495726113,3.0,4.0,9.152396736168654,0.1,0.0025
betweenness,3,11,0.9960732495726113,3.0,4.0,9.152396736168654,0.1,0.0025
betweenness,4,11,0.9960732495726113,3.0,4.0,9.152396736168654,0.1,0.0025
betweenness,5,11,0.9960732495726113,3.0,4.0,9.152396736168654,0.1,0.0025
betweenness,6,11,0.9960732495726113,3.0,4.0,9.152396736168654,0.1,0.0025
betweenness,7,11,0.9960732495726113,3.0,4.0,9.152396736168654,0.1,0.0025
betweenness,8,11,0.9960732495726113,3.0,4.0,9.152396736168654,0.1,0.0025
betweenness,9,11,0.9960732495726113,3.0,4.0,9.152396736168654,0.1,0.0025
random,0,13,0.9964539801273581,6.0,7.0,8.303643815368076,0.1,0.005
random,1,13,0.9963569311624226,6.0,8.0,8.06828514478959,0.1,0.005
random,2,14,0.9965808903122737,6.0,7.0,9.203772965144491,0.1,0.005
random,3,14,0.9961255067075765,6.0,8.0,8.87270908452965,0.1,0.005
random,4,13,0.9966779392772092,6.0,7.0,8.373392159936694,0.1,0.005
random,5,15,0.9965958209222637,6.0,7.0,10.252625921032005,0.1,0.005
random,6,14,0.9963867923824028,6.0,7.0,9.288257821773309,0.1,0.005
random,7,13,0.9963345352474375,6.0,7.0,8.170679268101498,0.1,0.005
random,8,13,0.9964017229923928,6.0,8.0,8.056363052712518,0.1,0.005
degree,0,9,0.9959911312176659,2.0,4.0,7.643890021126813,0.1,0.005
random,9,14,0.9964838413473383,6.0,8.0,9.082267661045293,0.1,0.005
degree,1,9,0.9959911312176659,2.0,4.0,7.643890021126813,0.1,0.005
degree,2,9,0.9959911312176659,2.0,4.0,7.643890021126813,0.1,0.005
degree,3,9,0.9959911312176659,2.0,4.0,7.643890021126813,0.1,0.005
degree,4,9,0.9959911312176659,2.0,4.0,7.643890021126813,0.1,0.005
degree,5,9,0.9959911312176659,2.0,4.0,7.643890021126813,0.1,0.005
degree,6,9,0.9959911312176659,2.0,4.0,7.643890021126813,0.1,0.005
degree,7,9,0.9959911312176659,2.0,4.0,7.643890021126813,0.1,0.005
degree,8,9,0.9959911312176659,2.0,4.0,7.643890021126813,0.1,0.005
degree,9,9,0.9959911312176659,2.0,4.0,7.643890021126813,0.1,0.005
betweenness,0,10,0.9963345352474375,2.0,4.0,8.692937074944197,0.1,0.005
betweenness,1,10,0.9963345352474375,2.0,4.0,8.692937074944197,0.1,0.005
betweenness,2,10,0.9963345352474375,2.0,4.0,8.692937074944197,0.1,0.005
betweenness,3,10,0.9963345352474375,2.0,4.0,8.692937074944197,0.1,0.005
betweenness,4,10,0.9963345352474375,2.0,4.0,8.692937074944197,0.1,0.005
betweenness,5,10,0.9963345352474375,2.0,4.0,8.692937074944197,0.1,0.005
betweenness,6,10,0.9963345352474375,2.0,4.0,8.692937074944197,0.1,0.005
betweenness,7,10,0.9963345352474375,2.0,4.0,8.692937074944197,0.1,0.005
betweenness,8,10,0.9963345352474375,2.0,4.0,8.692937074944197,0.1,0.005
betweenness,9,10,0.9963345352474375,2.0,4.0,8.692937074944197,0.1,0.005
random,0,13,0.9964689107373482,5.0,6.0,9.247101595335678,0.1,0.01
random,1,13,0.996431584212373,5.0,6.0,9.399446074369369,0.1,0.01
random,2,13,0.9965435637872986,5.0,6.0,9.311348010122956,0.1,0.01
random,3,12,0.9966182168372489,5.0,6.0,8.359708255880793,0.1,0.01
random,4,13,0.9963793270774077,5.0,6.0,9.290982658096496,0.1,0.01
random,5,12,0.9967525923271595,5.0,6.0,8.38900957798631,0.1,0.01
random,6,12,0.9966854045822042,5.0,6.0,8.327570117877166,0.1,0.01
random,7,12,0.9966107515322539,5.0,6.0,8.297380424477241,0.1,0.01
random,8,12,0.9968869678170702,5.0,6.0,8.300926444349884,0.1,0.01
degree,0,9,0.9959911312176659,2.0,3.0,8.045777250229557,0.1,0.01
random,9,13,0.9969242943420453,5.0,6.0,9.20873739296619,0.1,0.01
degree,1,9,0.9959911312176659,2.0,3.0,8.045777250229557,0.1,0.01
degree,2,9,0.9959911312176659,2.0,3.0,8.045777250229557,0.1,0.01
degree,3,9,0.9959911312176659,2.0,3.0,8.045777250229557,0.1,0.01
degree,4,9,0.9959911312176659,2.0,3.0,8.045777250229557,0.1,0.01
degree,5,9,0.9959911312176659,2.0,3.0,8.045777250229557,0.1,0.01
degree,6,9,0.9959911312176659,2.0,3.0,8.045777250229557,0.1,0.01
degree,7,9,0.9959911312176659,2.0,3.0,8.045777250229557,0.1,0.01
degree,8,9,0.9959911312176659,2.0,3.0,8.045777250229557,0.1,0.01
degree,9,9,0.9959911312176659,2.0,3.0,8.045777250229557,0.1,0.01
betweenness,0,9,0.9963345352474375,2.0,3.0,8.133755869596051,0.1,0.01
betweenness,1,9,0.9963345352474375,2.0,3.0,8.133755869596051,0.1,0.01
betweenness,2,9,0.9963345352474375,2.0,3.0,8.133755869596051,0.1,0.01
betweenness,3,9,0.9963345352474375,2.0,3.0,8.133755869596051,0.1,0.01
betweenness,4,9,0.9963345352474375,2.0,3.0,8.133755869596051,0.1,0.01
betweenness,5,9,0.9963345352474375,2.0,3.0,8.133755869596051,0.1,0.01
betweenness,6,9,0.9963345352474375,2.0,3.0,8.133755869596051,0.1,0.01
betweenness,7,9,0.9963345352474375,2.0,3.0,8.133755869596051,0.1,0.01
betweenness,8,9,0.9963345352474375,2.0,3.0,8.133755869596051,0.1,0.01
betweenness,9,9,0.9963345352474375,2.0,3.0,8.133755869596051,0.1,0.01
random,0,12,0.9969840167820057,4.0,5.0,9.423596336028309,0.1,0.02
random,1,12,0.9972378371518369,4.0,5.0,9.449739834120923,0.1,0.02
random,2,12,0.9977753391114794,4.0,5.0,9.416646137077931,0.1,0.02
random,3,12,0.9974468656916978,4.0,5.0,9.390144304345553,0.1,0.02
random,4,12,0.9971034616619262,4.0,5.0,9.23520189917359,0.1,0.02
random,5,10,0.9977902697214694,4.0,5.0,7.374974804595642,0.1,0.02
random,6,12,0.9970810657469411,4.0,5.0,9.285980903749824,0.1,0.02
random,7,11,0.9975588452666234,4.0,5.0,8.317044037834165,0.1,0.02
random,8,11,0.9971407881869013,4.0,5.0,8.438131284853643,0.1,0.02
degree,0,9,0.9959911312176659,1.0,3.0,8.378670130568185,0.1,0.02
random,9,11,0.997275163676812,4.0,5.0,8.277492851970468,0.1,0.02
degree,1,9,0.9959911312176659,1.0,3.0,8.378670130568185,0.1,0.02
degree,2,9,0.9959911312176659,1.0,3.0,8.378670130568185,0.1,0.02
degree,3,9,0.9959911312176659,1.0,3.0,8.378670130568185,0.1,0.02
degree,4,9,0.9959911312176659,1.0,3.0,8.378670130568185,0.1,0.02
degree,5,9,0.9959911312176659,1.0,3.0,8.378670130568185,0.1,0.02
degree,6,9,0.9959911312176659,1.0,3.0,8.378670130568185,0.1,0.02
degree,7,9,0.9959911312176659,1.0,3.0,8.378670130568185,0.1,0.02
degree,8,9,0.9959911312176659,1.0,3.0,8.378670130568185,0.1,0.02
degree,9,9,0.9959911312176659,1.0,3.0,8.378670130568185,0.1,0.02
betweenness,0,8,0.9963345352474375,1.0,3.0,7.495412570080552,0.1,0.02
betweenness,1,8,0.9963345352474375,1.0,3.0,7.495412570080552,0.1,0.02
betweenness,2,8,0.9963345352474375,1.0,3.0,7.495412570080552,0.1,0.02
betweenness,3,8,0.9963345352474375,1.0,3.0,7.495412570080552,0.1,0.02
betweenness,4,8,0.9963345352474375,1.0,3.0,7.495412570080552,0.1,0.02
betweenness,5,8,0.9963345352474375,1.0,3.0,7.495412570080552,0.1,0.02
betweenness,6,8,0.9963345352474375,1.0,3.0,7.495412570080552,0.1,0.02
betweenness,7,8,0.9963345352474375,1.0,3.0,7.495412570080552,0.1,0.02
betweenness,8,8,0.9963345352474375,1.0,3.0,7.495412570080552,0.1,0.02
betweenness,9,8,0.9963345352474375,1.0,3.0,7.495412570080552,0.1,0.02
random,0,9,0.9986114532709234,3.0,4.0,7.544989660552582,0.1,0.05
random,1,9,0.9980888819212709,3.0,4.0,7.549013459944907,0.1,0.05
random,2,9,0.9977081513665241,3.0,4.0,7.5216755130530855,0.1,0.05
random,3,9,0.9979395758213702,3.0,4.0,7.5390622083865235,0.1,0.05
random,4,8,0.9981486043612312,3.0,4.0,6.518204146230394,0.1,0.05
random,5,9,0.9978425268564347,3.0,4.0,7.582256463087798,0.1,0.05
random,6,9,0.9985591961359581,3.0,4.0,7.539360820586325,0.1,0.05
random,7,9,0.998738363455839,3.0,4.0,7.5555754630355425,0.1,0.05
random,8,8,0.9972303718468418,3.0,4.0,6.55193985950296,0.1,0.05
random,9,9,0.9977380125865042,3.0,4.0,7.5638320903600516,0.1,0.05
degree,0,9,0.9959911312176659,1.0,2.0,8.710040088687823,0.1,0.05
degree,1,9,0.9959911312176659,1.0,2.0,8.710040088687823,0.1,0.05
degree,2,9,0.9959911312176659,1.0,2.0,8.710040088687823,0.1,0.05
degree,3,9,0.9959911312176659,1.0,2.0,8.710040088687823,0.1,0.05
degree,4,9,0.9959911312176659,1.0,2.0,8.710040088687823,0.1,0.05
degree,5,9,0.9959911312176659,1.0,2.0,8.710040088687823,0.1,0.05
degree,6,9,0.9959911312176659,1.0,2.0,8.710040088687823,0.1,0.05
degree,7,9,0.9959911312176659,1.0,2.0,8.710040088687823,0.1,0.05
degree,8,9,0.9959911312176659,1.0,2.0,8.710040088687823,0.1,0.05
degree,9,9,0.9959911312176659,1.0,2.0,8.710040088687823,0.1,0.05
betweenness,0,7,0.9967749882421446,1.0,2.0,6.847289721021552,0.1,0.05
betweenness,1,7,0.9967749882421446,1.0,2.0,6.847289721021552,0.1,0.05
betweenness,2,7,0.9967749882421446,1.0,2.0,6.847289721021552,0.1,0.05
betweenness,3,7,0.9967749882421446,1.0,2.0,6.847289721021552,0.1,0.05
betweenness,4,7,0.9967749882421446,1.0,2.0,6.847289721021552,0.1,0.05
betweenness,5,7,0.9967749882421446,1.0,2.0,6.847289721021552,0.1,0.05
betweenness,6,7,0.9967749882421446,1.0,2.0,6.847289721021552,0.1,0.05
betweenness,7,7,0.9967749882421446,1.0,2.0,6.847289721021552,0.1,0.05
betweenness,8,7,0.9967749882421446,1.0,2.0,6.847289721021552,0.1,0.05
betweenness,9,7,0.9967749882421446,1.0,2.0,6.847289721021552,0.1,0.05
random,0,24,0.9837181698058274,14.0,18.0,10.81418109336857,0.15,0.0025
random,1,26,0.9844348390853508,15.0,18.0,12.497420737124214,0.15,0.0025
random,2,26,0.9843452554254104,16.0,19.0,11.512985898038863,0.15,0.0025
random,4,24,0.9836211208408919,15.0,18.0,10.705613162825767,0.15,0.0025
random,3,26,0.9839645248706635,16.0,19.0,11.583600217986904,0.15,0.0025
random,5,25,0.9840018513956388,15.0,18.0,11.428829514829829,0.15,0.0025
random,6,26,0.9839346636506835,16.0,19.0,11.669846886594552,0.15,0.0025
degree,0,15,0.9835166065709614,4.0,6.0,12.038394063589468,0.15,0.0025
random,7,24,0.9837853575507828,14.0,17.0,11.425753809171875,0.15,0.0025
degree,1,15,0.9835166065709614,4.0,6.0,12.038394063589468,0.15,0.0025
random,8,23,0.984487096220316,14.0,17.0,10.634043283838363,0.15,0.0025
degree,2,15,0.9835166065709614,4.0,6.0,12.038394063589468,0.15,0.0025
degree,3,15,0.9835166065709614,4.0,6.0,12.038394063589468,0.15,0.0025
degree,4,15,0.9835166065709614,4.0,6.0,12.038394063589468,0.15,0.0025
random,9,27,0.9837331004158175,17.0,20.0,11.70339596724224,0.15,0.0025
degree,5,15,0.9835166065709614,4.0,6.0,12.038394063589468,0.15,0.0025
degree,6,15,0.9835166065709614,4.0,6.0,12.038394063589468,0.15,0.0025
degree,7,15,0.9835166065709614,4.0,6.0,12.038394063589468,0.15,0.0025
degree,8,15,0.9835166065709614,4.0,6.0,12.038394063589468,0.15,0.0025
degree,9,15,0.9835166065709614,4.0,6.0,12.038394063589468,0.15,0.0025
betweenness,0,14,0.9835987249259068,4.0,6.0,10.870081297171396,0.15,0.0025
betweenness,1,14,0.9835987249259068,4.0,6.0,10.870081297171396,0.15,0.0025
betweenness,2,14,0.9835987249259068,4.0,6.0,10.870081297171396,0.15,0.0025
betweenness,3,14,0.9835987249259068,4.0,6.0,10.870081297171396,0.15,0.0025
betweenness,4,14,0.9835987249259068,4.0,6.0,10.870081297171396,0.15,0.0025
betweenness,5,14,0.9835987249259068,4.0,6.0,10.870081297171396,0.15,0.0025
