strategy,time_step,mean_fraction,std_fraction,tau,seed_fraction
random,15,0.017875672810612676,0.0019526851068479784,0.05,0.0025
random,16,0.018005569117526297,0.0020249514994651403,0.05,0.0025
random,17,0.01810112502146275,0.0020782382065065233,0.05,0.0025
random,18,0.018453404469395154,0.002113536631582554,0.05,0.0025
random,19,0.01858031465431076,0.0021212386785218937,0.05,0.0025
random,20,0.018717178579219743,0.002210290665806424,0.05,0.0025
random,21,0.01885155406913038,0.0022727341526463016,0.05,0.0025
random,22,0.019005733354236186,0.0024661683758176014,0.05,0.0025
random,23,0.019093450687927855,0.0025222945760508602,0.05,0.0025
random,24,0.0192231603622166,0.0027576935003275345,0.05,0.0025
random,25,0.01929248105145621,0.002770284439658314,0.05,0.0025
random,26,0.01935326996355865,0.0027722657689798354,0.05,0.0025
random,27,0.019707160969394736,0.002914118563740813,0.05,0.0025
random,28,0.019748220146867435,0.00290748344807729,0.05,0.0025
random,29,0.019778081366847576,0.0028979028078477444,0.05,0.0025
random,30,0.018670727792583965,0.0009438224230456412,0.05,0.0025
random,31,0.01871178697005666,0.0010898066912131677,0.05,0.0025
random,32,0.01884491824246813,0.0013160198535132556,0.05,0.0025
random,33,0.018867314157453238,0.001303937564669841,0.05,0.0025
random,34,0.01888722163744,0.0012953541153535324,0.05,0.0025
random,35,0.018323591110314813,0.0011560501450497858,0.05,0.0025
random,36,0.017513605518353452,0.0,0.05,0.0025
random,37,0.017521070823348486,0.0,0.05,0.0025
random,38,0.017521070823348486,0.0,0.05,0.0025
betweenness,0,0.004994289041678797,0.0,0.05,0.005
betweenness,1,0.09224877382365457,0.0,0.05,0.005
betweenness,2,0.14804446335655044,0.0,0.05,0.005
betweenness,3,0.1924854239919972,0.0,0.05,0.005
betweenness,4,0.22655707598933955,0.0,0.05,0.005
betweenness,5,0.2521705374273066,0.0,0.05,0.005
betweenness,6,0.27237165274387287,0.0,0.05,0.005
betweenness,7,0.2873470545639142,0.0,0.05,0.005
betweenness,8,0.29960508536576264,0.0,0.05,0.005
betweenness,9,0.31002665113883227,0.0,0.05,0.005
betweenness,10,0.3182086254133913,0.0,0.05,0.005
betweenness,11,0.32443468977925094,0.0,0.05,0.005
betweenness,12,0.32948123595589496,0.0,0.05,0.005
betweenness,13,0.33357222309317447,0.0,0.05,0.005
betweenness,14,0.3366404634461341,0.0,0.05,0.005
betweenness,15,0.3394175569042873,0.0,0.05,0.005
betweenness,16,0.3421647891424604,0.0,0.05,0.005
betweenness,17,0.3443297275910207,0.0,0.05,0.005
betweenness,18,0.3461139354848342,0.0,0.05,0.005
betweenness,19,0.34729345367404985,0.0,0.05,0.005
betweenness,20,0.3484953677782506,0.0,0.05,0.005
betweenness,21,0.3492792248027293,0.0,0.05,0.005
betweenness,22,0.34983165737236194,0.0,0.05,0.005
betweenness,23,0.3502049226221137,0.0,0.05,0.005
betweenness,24,0.35046620829694,0.0,0.05,0.005
